NO.;Avg PH;Avg DO;Avg COD;Avg NH3-N;Avg TP;Avg CODMn;Avg F;Avg Oil;Avg Cr6+;Avg LAS;Avg Cu;Avg Zn;Avg Cd;Avg As;Avg Hg;Avg CN;Avg VP;Avg S;Avg Se
M1;7,56;7,566666667;30,08333333;1,635;0,375;8,283333333;0,5525;0,174166667;0,017666667;0,2675;0,0575;0,05;0,000241667;0,002941667;0,000173333;0,015416667;0,001066667;0,011916667;0,000916667
M2;7,645833333;8,708333333;15,66666667;0,885833333;0,200833333;3,733333333;0,848333333;0,100833333;0,010083333;0,243333333;0,053333333;0,038333333;0,000233333;0,002191667;0,000150833;0,011583333;0,000558333;0,0095;0,000675
M3;7,7875;8,525;17,58333333;1,275;0,224166667;6,066666667;0,6075;0,060833333;0,01525;0,1775;0,04;0,046666667;0,000308333;0,002016667;0,000155;0,008416667;0,000733333;0,007083333;0,000725
M4;7,7;8,583333333;26,58333333;1,2;0,225;6,158333333;0,640833333;0,0875;0,019;0,219166667;0,0425;0,040833333;0,0003;0,002733333;0,0001625;0,010333333;0,00105;0,01125;0,000958333
M5;7,790833333;8,091666667;32,08333333;0,935;0,193333333;6,525;0,669166667;0,0825;0,017666667;0,1925;0,044166667;0,039166667;0,000341667;0,002933333;0,000153333;0,014333333;0,000633333;0,007333333;0,000908333
M6;7,610833333;8,175;26,33333333;0,8975;0,141666667;5,841666667;0,806666667;0,154166667;0,020583333;0,21;0,040833333;0,043333333;0,000366667;0,00265;0,000129167;0,012416667;0,000741667;0,006333333;0,000708333
M7;7,620833333;8,375;25,41666667;0,855833333;0,155;6,383333333;0,814166667;0,1425;0,018916667;0,205833333;0,036666667;0,038333333;0,000308333;0,002633333;0,000123333;0,01125;0,000783333;0,007166667;0,000741667
M8;7,704166667;8,848333333;23,58333333;0,7375;0,1525;6,341666667;0,778333333;0,136666667;0,017416667;0,204166667;0,0275;0,035;0,000266667;0,002408333;0,000110833;0,008666667;0,000575;0,005916667;0,00065
T1;7,626666667;8,558333333;26,91666667;1,386666667;0,313333333;7,091666667;0,8425;0,109166667;0,018833333;0,235;0,0725;0,043333333;0,000258333;0,002525;0,00015;0,013083333;0,001;0,01225;0,000866667
T2;7,595833333;8,233333333;9,166666667;1,343333333;0,160833333;4,691666667;0,443333333;0,08;0,014916667;0,170833333;0,041666667;0,039166667;0,000258333;0,00165;0,000105;0,007666667;0,000591667;0,00725;0,000608333
T3;7,6275;8,625;8,833333333;1,461666667;0,104166667;5,591666667;0,453333333;0,073333333;0,014583333;0,1625;0,033333333;0,039166667;0,000216667;0,001583333;0,000183333;0,006666667;0,000466667;0,007666667;0,000475
T4;7,643333333;8,408333333;11,16666667;0,6175;0,186666667;3,591666667;0,605833333;0,075;0,01425;0,166666667;0,029166667;0,0425;0,000316667;0,001958333;0,000105;0,009416667;0,000608333;0,006666667;0,000641667
T5;7,5575;8,358333333;12,5;0,661666667;0,096666667;3,208333333;0,586666667;0,048333333;0,008916667;0,1525;0,030833333;0,040833333;0,0002;0,0018;9,66667E-05;0,008333333;0,000458333;0,006;0,0006
T6;7,618333333;8,516666667;22,16666667;0,909166667;0,22;6,65;0,865833333;0,150833333;0,02;0,219166667;0,050833333;0,045;0,000333333;0,003016667;0,000145;0,00775;0,000733333;0,008333333;0,000891667
